,Coal,Gas,Wind,Solar,Nuclear,,Total,,,,
1/2/2025,"  98,520 ","  184,666 ","  42,835 ","  19,672 ","  97,756 ",,"  483,318 ",,,,
1/1/2025,"  78,779 ","  155,239 ","  50,534 ","  20,126 ","  97,730 ",,"  439,001 ",,,,
12/31/2024,"  71,562 ","  148,187 ","  66,626 ","  18,810 ","  97,579 ",,"  440,968 ",,,,
12/30/2024,"  65,717 ","  147,019 ","  70,671 ","  17,941 ","  97,411 ",,"  434,415 ",,,,
12/29/2024,"  69,395 ","  151,216 ","  46,626 ","  15,050 ","  97,055 ",,"  411,309 ",,,,
12/28/2024,"  74,737 ","  156,896 ","  52,120 ","  12,174 ","  96,434 ",,"  423,965 ",,,,
12/27/2024,"  82,108 ","  171,983 ","  51,455 ","  12,851 ","  97,808 ",,"  451,332 ",,,,
12/26/2024,"  88,261 ","  179,788 ","  37,960 ","  11,505 ","  98,035 ",,"  449,779 ",,,,
12/25/2024,"  86,581 ","  168,387 ","  32,020 ","  12,799 ","  98,041 ",,"  428,897 ",,,,
12/24/2024,"  94,569 ","  184,053 ","  32,239 ","  13,097 ","  97,793 ",,"  454,837 ",,,,
12/23/2024,"  97,586 ","  184,551 ","  56,800 ","  16,334 ","  97,721 ",,"  490,866 ",,,,
12/22/2024,"  92,220 ","  175,128 ","  71,518 ","  16,992 ","  97,884 ",,"  488,872 ",,,,
12/21/2024,"  94,164 ","  190,529 ","  44,771 ","  21,046 ","  97,905 ",,"  481,711 ",,,,
12/20/2024,"  90,159 ","  194,163 ","  47,707 ","  18,808 ","  97,780 ",,"  484,312 ",,,,
12/19/2024,"  81,470 ","  186,066 ","  56,111 ","  18,020 ","  97,374 ",,"  474,181 ",,,,
12/18/2024,"  81,785 ","  183,520 ","  51,457 ","  15,227 ","  97,138 ",,"  462,513 ",,,,
12/17/2024,"  80,950 ","  182,691 ","  48,832 ","  15,540 ","  97,651 ",,"  458,436 ",,,,
12/16/2024,"  79,101 ","  176,140 ","  64,678 ","  13,935 ","  97,044 ",,"  465,183 ",,,,
12/15/2024,"  79,357 ","  163,251 ","  66,231 ","  13,948 ","  96,821 ",,"  451,244 ",,,,
12/14/2024,"  82,653 ","  178,537 ","  56,608 ","  15,103 ","  95,914 ",,"  461,896 ",,,,
